"","test3$TimeConverted","X_coord","Y_coord","hr","time"
"179",2019-12-05 23:14:59,-0.123896241188049,51.5067851543427,134,2019-12-05 23:14:59
"180",2019-12-05 23:15:00,-0.123870491981506,51.5067845582962,134,2019-12-05 23:15:00
"181",2019-12-05 23:15:01,-0.123838901519775,51.5067836046219,133,2019-12-05 23:15:01
"182",2019-12-05 23:15:02,-0.12379777431488,51.5067813396454,133,2019-12-05 23:15:02
"183",2019-12-05 23:15:03,-0.123766183853149,51.5067789554596,132,2019-12-05 23:15:03
"184",2019-12-05 23:15:04,-0.123744368553162,51.5067772865295,131,2019-12-05 23:15:04
"185",2019-12-05 23:15:05,-0.123724460601807,51.5067754983902,130,2019-12-05 23:15:05
"186",2019-12-05 23:15:06,-0.123700618743896,51.5067727565765,129,2019-12-05 23:15:06
"187",2019-12-05 23:15:07,-0.123674392700195,51.5067695379257,129,2019-12-05 23:15:07
"188",2019-12-05 23:15:08,-0.123642563819885,51.5067644119263,129,2019-12-05 23:15:08
"189",2019-12-05 23:15:09,-0.123615264892578,51.5067621469498,129,2019-12-05 23:15:09
"190",2019-12-05 23:15:10,-0.123589873313904,51.5067620277405,129,2019-12-05 23:15:10
"191",2019-12-05 23:15:11,-0.123571157455444,51.5067626237869,130,2019-12-05 23:15:11
"192",2019-12-05 23:15:12,-0.123552918434143,51.506763458252,131,2019-12-05 23:15:12
"193",2019-12-05 23:15:13,-0.123529314994812,51.5067646503448,130,2019-12-05 23:15:13
"194",2019-12-05 23:15:14,-0.123498558998108,51.5067656040192,130,2019-12-05 23:15:14
"195",2019-12-05 23:15:15,-0.123473048210144,51.5067658424377,129,2019-12-05 23:15:15
"196",2019-12-05 23:15:16,-0.123452305793762,51.5067652463913,129,2019-12-05 23:15:16
"197",2019-12-05 23:15:17,-0.123438954353333,51.5067633390427,129,2019-12-05 23:15:17
"198",2019-12-05 23:15:18,-0.123428225517273,51.5067600011826,130,2019-12-05 23:15:18
"199",2019-12-05 23:15:19,-0.123417377471924,51.5067535638809,131,2019-12-05 23:15:19
"200",2019-12-05 23:15:20,-0.123404264450073,51.5067456960678,129,2019-12-05 23:15:20
"201",2019-12-05 23:15:21,-0.123383760452271,51.5067352056503,129,2019-12-05 23:15:21
"202",2019-12-05 23:15:22,-0.123363733291626,51.5067299604416,129,2019-12-05 23:15:22
"203",2019-12-05 23:15:23,-0.123347640037537,51.5067281723022,128,2019-12-05 23:15:23
"204",2019-12-05 23:15:24,-0.123331904411316,51.506728053093,128,2019-12-05 23:15:24
"205",2019-12-05 23:15:25,-0.123313307762146,51.5067293643951,128,2019-12-05 23:15:25
"206",2019-12-05 23:15:26,-0.123294830322266,51.5067317485809,128,2019-12-05 23:15:26
"207",2019-12-05 23:15:27,-0.123276352882385,51.5067343711853,128,2019-12-05 23:15:27
"208",2019-12-05 23:15:28,-0.123254299163818,51.5067348480225,128,2019-12-05 23:15:28
"209",2019-12-05 23:15:29,-0.123241782188416,51.5067336559296,128,2019-12-05 23:15:29
"210",2019-12-05 23:15:30,-0.123231887817383,51.5067319869995,128,2019-12-05 23:15:30
"211",2019-12-05 23:15:31,-0.123220562934875,51.5067307949066,127,2019-12-05 23:15:31
"212",2019-12-05 23:15:32,-0.123206615447998,51.5067321062088,127,2019-12-05 23:15:32
"213",2019-12-05 23:15:33,-0.123184561729431,51.5067390203476,127,2019-12-05 23:15:33
"214",2019-12-05 23:15:34,-0.123165369033813,51.5067483186722,127,2019-12-05 23:15:34
"215",2019-12-05 23:15:35,-0.123153448104858,51.5067559480667,127,2019-12-05 23:15:35
"216",2019-12-05 23:15:36,-0.123148441314697,51.5067596435547,127,2019-12-05 23:15:36
"217",2019-12-05 23:15:37,-0.123146891593933,51.5067615509033,126,2019-12-05 23:15:37
"218",2019-12-05 23:15:38,-0.123149037361145,51.5067620277405,126,2019-12-05 23:15:38
"219",2019-12-05 23:15:39,-0.123155117034912,51.5067595243454,126,2019-12-05 23:15:39
"220",2019-12-05 23:15:40,-0.123161792755127,51.5067553520203,126,2019-12-05 23:15:40
"221",2019-12-05 23:15:41,-0.123167991638184,51.5067497491837,126,2019-12-05 23:15:41
"222",2019-12-05 23:15:42,-0.123172163963318,51.5067445039749,127,2019-12-05 23:15:42
"223",2019-12-05 23:15:43,-0.123174905776978,51.5067394971848,127,2019-12-05 23:15:43
"224",2019-12-05 23:15:44,-0.123176336288452,51.5067348480225,127,2019-12-05 23:15:44
"225",2019-12-05 23:15:45,-0.12317681312561,51.506730556488,126,2019-12-05 23:15:45
"226",2019-12-05 23:15:46,-0.123175978660583,51.5067270994186,126,2019-12-05 23:15:46
"227",2019-12-05 23:15:47,-0.123172879219055,51.5067249536514,126,2019-12-05 23:15:47
"228",2019-12-05 23:15:48,-0.123167634010315,51.5067257881165,127,2019-12-05 23:15:48
"229",2019-12-05 23:15:49,-0.123160362243652,51.506729722023,127,2019-12-05 23:15:49
"230",2019-12-05 23:15:50,-0.123150706291199,51.5067378282547,127,2019-12-05 23:15:50
"231",2019-12-05 23:15:51,-0.123140931129456,51.5067466497421,127,2019-12-05 23:15:51
"232",2019-12-05 23:15:52,-0.123132109642029,51.506756067276,127,2019-12-05 23:15:52
"233",2019-12-05 23:15:53,-0.123124241828918,51.5067660808563,126,2019-12-05 23:15:53
"234",2019-12-05 23:15:54,-0.123117208480835,51.506777048111,126,2019-12-05 23:15:54
"235",2019-12-05 23:15:55,-0.123111128807068,51.5067888498306,127,2019-12-05 23:15:55
"236",2019-12-05 23:15:56,-0.123105883598328,51.5068017244339,127,2019-12-05 23:15:56
"237",2019-12-05 23:15:57,-0.123101353645325,51.5068155527115,128,2019-12-05 23:15:57
"238",2019-12-05 23:15:58,-0.123097658157349,51.5068306922913,128,2019-12-05 23:15:58
"239",2019-12-05 23:15:59,-0.123094439506531,51.5068471431732,128,2019-12-05 23:15:59
"240",2019-12-05 23:16:00,-0.123091697692871,51.5068653821945,128,2019-12-05 23:16:00
"241",2019-12-05 23:16:01,-0.123088955879211,51.5068846940994,128,2019-12-05 23:16:01
"242",2019-12-05 23:16:02,-0.123086094856262,51.5069047212601,128,2019-12-05 23:16:02
"243",2019-12-05 23:16:03,-0.123083114624023,51.5069255828857,128,2019-12-05 23:16:03
